"playlist_key","playlist_title","playlist_description","track_position","track_id","track_title"
"deep_hours","Deep Hours — Late Night Downtempo & Ambient Electronic","Nocturnal electronics for late-night headphone sessions. Deep Hours collects the slowest, most introspective corner of vanishaudio's catalog — downtempo, ambient, lo-fi and IDM built for dark rooms and restless minds. |  | Analogue warmth, tape-saturated textures and melancholic pads drift through minimal arrangements that breathe with deliberate stillness. Bedroom-produced, underground, and deeply personal. |  | Tags: downtempo, ambient, lo-fi, IDM, electronica, nocturnal, introspective, meditative, slow burn, atmospheric, bedroom producer, underground electronic","1","1921050419","ItsLate"
"deep_hours","Deep Hours — Late Night Downtempo & Ambient Electronic","Nocturnal electronics for late-night headphone sessions. Deep Hours collects the slowest, most introspective corner of vanishaudio's catalog — downtempo, ambient, lo-fi and IDM built for dark rooms and restless minds. |  | Analogue warmth, tape-saturated textures and melancholic pads drift through minimal arrangements that breathe with deliberate stillness. Bedroom-produced, underground, and deeply personal. |  | Tags: downtempo, ambient, lo-fi, IDM, electronica, nocturnal, introspective, meditative, slow burn, atmospheric, bedroom producer, underground electronic","2","134747530","Sinking"
"deep_hours","Deep Hours — Late Night Downtempo & Ambient Electronic","Nocturnal electronics for late-night headphone sessions. Deep Hours collects the slowest, most introspective corner of vanishaudio's catalog — downtempo, ambient, lo-fi and IDM built for dark rooms and restless minds. |  | Analogue warmth, tape-saturated textures and melancholic pads drift through minimal arrangements that breathe with deliberate stillness. Bedroom-produced, underground, and deeply personal. |  | Tags: downtempo, ambient, lo-fi, IDM, electronica, nocturnal, introspective, meditative, slow burn, atmospheric, bedroom producer, underground electronic","3","2271458903","afterAmber"
"deep_hours","Deep Hours — Late Night Downtempo & Ambient Electronic","Nocturnal electronics for late-night headphone sessions. Deep Hours collects the slowest, most introspective corner of vanishaudio's catalog — downtempo, ambient, lo-fi and IDM built for dark rooms and restless minds. |  | Analogue warmth, tape-saturated textures and melancholic pads drift through minimal arrangements that breathe with deliberate stillness. Bedroom-produced, underground, and deeply personal. |  | Tags: downtempo, ambient, lo-fi, IDM, electronica, nocturnal, introspective, meditative, slow burn, atmospheric, bedroom producer, underground electronic","4","2066912332","wanderer"
"deep_hours","Deep Hours — Late Night Downtempo & Ambient Electronic","Nocturnal electronics for late-night headphone sessions. Deep Hours collects the slowest, most introspective corner of vanishaudio's catalog — downtempo, ambient, lo-fi and IDM built for dark rooms and restless minds. |  | Analogue warmth, tape-saturated textures and melancholic pads drift through minimal arrangements that breathe with deliberate stillness. Bedroom-produced, underground, and deeply personal. |  | Tags: downtempo, ambient, lo-fi, IDM, electronica, nocturnal, introspective, meditative, slow burn, atmospheric, bedroom producer, underground electronic","5","1949550727","blissmode"
"deep_hours","Deep Hours — Late Night Downtempo & Ambient Electronic","Nocturnal electronics for late-night headphone sessions. Deep Hours collects the slowest, most introspective corner of vanishaudio's catalog — downtempo, ambient, lo-fi and IDM built for dark rooms and restless minds. |  | Analogue warmth, tape-saturated textures and melancholic pads drift through minimal arrangements that breathe with deliberate stillness. Bedroom-produced, underground, and deeply personal. |  | Tags: downtempo, ambient, lo-fi, IDM, electronica, nocturnal, introspective, meditative, slow burn, atmospheric, bedroom producer, underground electronic","6","1566045505","GloTechAmb"
"deep_hours","Deep Hours — Late Night Downtempo & Ambient Electronic","Nocturnal electronics for late-night headphone sessions. Deep Hours collects the slowest, most introspective corner of vanishaudio's catalog — downtempo, ambient, lo-fi and IDM built for dark rooms and restless minds. |  | Analogue warmth, tape-saturated textures and melancholic pads drift through minimal arrangements that breathe with deliberate stillness. Bedroom-produced, underground, and deeply personal. |  | Tags: downtempo, ambient, lo-fi, IDM, electronica, nocturnal, introspective, meditative, slow burn, atmospheric, bedroom producer, underground electronic","7","1311057331","Gratefully"
"deep_hours","Deep Hours — Late Night Downtempo & Ambient Electronic","Nocturnal electronics for late-night headphone sessions. Deep Hours collects the slowest, most introspective corner of vanishaudio's catalog — downtempo, ambient, lo-fi and IDM built for dark rooms and restless minds. |  | Analogue warmth, tape-saturated textures and melancholic pads drift through minimal arrangements that breathe with deliberate stillness. Bedroom-produced, underground, and deeply personal. |  | Tags: downtempo, ambient, lo-fi, IDM, electronica, nocturnal, introspective, meditative, slow burn, atmospheric, bedroom producer, underground electronic","8","837910870","LightRain"
"deep_hours","Deep Hours — Late Night Downtempo & Ambient Electronic","Nocturnal electronics for late-night headphone sessions. Deep Hours collects the slowest, most introspective corner of vanishaudio's catalog — downtempo, ambient, lo-fi and IDM built for dark rooms and restless minds. |  | Analogue warmth, tape-saturated textures and melancholic pads drift through minimal arrangements that breathe with deliberate stillness. Bedroom-produced, underground, and deeply personal. |  | Tags: downtempo, ambient, lo-fi, IDM, electronica, nocturnal, introspective, meditative, slow burn, atmospheric, bedroom producer, underground electronic","9","125812008","Dreams"
"deep_hours","Deep Hours — Late Night Downtempo & Ambient Electronic","Nocturnal electronics for late-night headphone sessions. Deep Hours collects the slowest, most introspective corner of vanishaudio's catalog — downtempo, ambient, lo-fi and IDM built for dark rooms and restless minds. |  | Analogue warmth, tape-saturated textures and melancholic pads drift through minimal arrangements that breathe with deliberate stillness. Bedroom-produced, underground, and deeply personal. |  | Tags: downtempo, ambient, lo-fi, IDM, electronica, nocturnal, introspective, meditative, slow burn, atmospheric, bedroom producer, underground electronic","10","121733043","Clouded"
